timestamp,imei,x,y
2026-02-13T02:00:53.057171+00:00,359103009760041,185,43
2026-02-13T02:00:54.057171+00:00,359103009760041,205,46
2026-02-13T02:00:55.057171+00:00,359103009760041,215,49
2026-02-13T02:00:56.057171+00:00,359103009760041,195,52
2026-02-13T02:00:57.057171+00:00,359103009760041,185,55
2026-02-13T02:00:58.057171+00:00,359103009760041,205,58
2026-02-13T02:00:59.057171+00:00,359103009760041,215,61
2026-02-13T02:01:00.057171+00:00,359103009760041,195,64
2026-02-13T02:01:01.057171+00:00,359103009760041,185,67
2026-02-13T02:01:02.057171+00:00,359103009760041,205,70
2026-02-13T02:01:03.057171+00:00,359103009760041,215,73
2026-02-13T02:01:04.057171+00:00,359103009760041,195,76
2026-02-13T02:01:05.057171+00:00,359103009760041,185,79
2026-02-13T02:01:06.057171+00:00,359103009760041,205,82
2026-02-13T02:01:07.057171+00:00,359103009760041,215,85
2026-02-13T02:01:08.057171+00:00,359103009760041,195,88
