timestamp,imei,x,y
2026-02-13T02:23:34.815004+00:00,490566004131915,153,54
2026-02-13T02:23:35.015004+00:00,448898914349458,146,132
2026-02-13T02:23:35.215004+00:00,358746027503701,129,159
2026-02-13T02:23:35.415004+00:00,350101943831414,167,53
2026-02-13T02:23:35.615004+00:00,350728957598115,23,135
2026-02-13T02:23:35.815004+00:00,450041004268917,123,79
2026-02-13T02:23:36.015004+00:00,012154007460794,43,110
2026-02-13T02:23:36.215004+00:00,449209106639525,30,149
2026-02-13T02:23:36.415004+00:00,354846016966283,40,102
2026-02-13T02:23:36.615004+00:00,520188719394821,69,150
2026-02-13T02:23:36.815004+00:00,353225034793766,65,122
2026-02-13T02:23:37.015004+00:00,358321011224936,101,125
2026-02-13T02:23:37.215004+00:00,520018612788821,145,83
2026-02-13T02:23:37.415004+00:00,520293002754978,65,86
2026-02-13T02:23:37.615004+00:00,354875046311715,169,28
2026-02-13T02:23:37.815004+00:00,359320001046258,111,140
2026-02-13T02:23:38.015004+00:00,351000931315951,52,180
2026-02-13T02:23:38.215004+00:00,350838608651088,146,26
2026-02-13T02:23:38.415004+00:00,358161052404108,46,97
2026-02-13T02:23:38.615004+00:00,520408437861459,162,156
2026-02-13T02:23:38.815004+00:00,358066005717243,124,108
2026-02-13T02:23:39.015004+00:00,356558001223350,156,132
2026-02-13T02:23:39.215004+00:00,353945018207307,137,91
2026-02-13T02:23:39.415004+00:00,358285031889491,117,144
2026-02-13T02:23:39.615004+00:00,350436011013952,56,180
2026-02-13T02:23:39.815004+00:00,357713015985424,41,119
2026-02-13T02:23:40.015004+00:00,520290614828695,140,68
2026-02-13T02:23:40.215004+00:00,358921022650175,101,138
2026-02-13T02:23:40.415004+00:00,359856003496652,171,108
2026-02-13T02:23:40.615004+00:00,490031209699828,152,49
2026-02-13T02:23:40.815004+00:00,357011046378580,171,138
2026-02-13T02:23:41.015004+00:00,358059013057355,101,153
2026-02-13T02:23:41.215004+00:00,450085011819030,61,63
2026-02-13T02:23:41.415004+00:00,354379002893782,164,82
2026-02-13T02:23:41.615004+00:00,351771006586524,157,82
2026-02-13T02:23:41.815004+00:00,520005516277514,175,108
2026-02-13T02:23:42.015004+00:00,358226038088299,125,115
2026-02-13T02:23:42.215004+00:00,990005272735136,89,83
2026-02-13T02:23:42.415004+00:00,520151513010605,82,139
2026-02-13T02:23:42.615004+00:00,351705005841688,154,157
2026-02-13T02:23:42.815004+00:00,352521004417191,89,177
2026-02-13T02:23:43.015004+00:00,351068305066682,120,77
2026-02-13T02:23:43.215004+00:00,351303005294999,109,172
2026-02-13T02:23:43.415004+00:00,355369048980189,102,88
2026-02-13T02:23:43.615004+00:00,351482203724336,85,23
2026-02-13T02:23:43.815004+00:00,353988007360257,88,88
2026-02-13T02:23:44.015004+00:00,520180629874851,150,147
2026-02-13T02:23:44.215004+00:00,352275002067819,163,33
2026-02-13T02:23:44.415004+00:00,350061009386291,117,155
2026-02-13T02:23:44.615004+00:00,357100008468875,101,152
2026-02-13T02:23:44.815004+00:00,357712011741179,40,170
2026-02-13T02:23:45.015004+00:00,353607004593757,58,22
2026-02-13T02:23:45.215004+00:00,352430058665160,121,174
2026-02-13T02:23:45.415004+00:00,446714004381107,93,99
2026-02-13T02:23:45.615004+00:00,332325723838512,170,59
2026-02-13T02:23:45.815004+00:00,449191107626471,60,60
2026-02-13T02:23:46.015004+00:00,352805007131085,117,28
2026-02-13T02:23:46.215004+00:00,443008005576184,67,25
2026-02-13T02:23:46.415004+00:00,356252047079253,87,80
2026-02-13T02:23:46.615004+00:00,448749503647853,61,56
2026-02-13T02:23:46.815004+00:00,350427889203122,133,175
2026-02-13T02:23:47.015004+00:00,357577025214582,173,126
2026-02-13T02:23:47.215004+00:00,353005014790853,93,180
2026-02-13T02:23:47.415004+00:00,450040001877662,69,168
2026-02-13T02:23:47.615004+00:00,350696917773880,158,120
2026-02-13T02:23:47.815004+00:00,356298016887457,40,58
2026-02-13T02:23:48.015004+00:00,353301006868751,98,115
2026-02-13T02:23:48.215004+00:00,355939041254145,53,56
2026-02-13T02:23:48.415004+00:00,355399018426327,27,89
2026-02-13T02:23:48.615004+00:00,490108206955468,28,112
2026-02-13T02:23:48.815004+00:00,350700946433746,136,174
2026-02-13T02:23:49.015004+00:00,353190035715798,123,125
2026-02-13T02:23:49.215004+00:00,358248031556759,158,83
2026-02-13T02:23:49.415004+00:00,354911011168671,142,59
2026-02-13T02:23:49.615004+00:00,520131612735286,52,21
2026-02-13T02:23:49.815004+00:00,350469005972859,36,90
2026-02-13T02:23:50.015004+00:00,358905001783420,91,56
2026-02-13T02:23:50.215004+00:00,355214051315230,97,99
2026-02-13T02:23:50.415004+00:00,354835012341864,41,146
2026-02-13T02:23:50.615004+00:00,355652005840243,122,141
2026-02-13T02:23:50.815004+00:00,449275953520654,127,83
2026-02-13T02:23:51.015004+00:00,350844942591618,50,131
2026-02-13T02:23:51.215004+00:00,332004352334099,41,65
2026-02-13T02:23:51.415004+00:00,358453029619979,130,179
2026-02-13T02:23:51.615004+00:00,495508005983691,158,162
2026-02-13T02:23:51.815004+00:00,354894017033612,53,163
2026-02-13T02:23:52.015004+00:00,350064002867754,52,127
2026-02-13T02:23:52.215004+00:00,351548006724879,148,50
2026-02-13T02:23:52.415004+00:00,351814008901380,78,158
2026-02-13T02:23:52.615004+00:00,350780809613931,86,157
2026-02-13T02:23:52.815004+00:00,358874035833025,28,32
2026-02-13T02:23:53.015004+00:00,353293017575394,139,115
2026-02-13T02:23:53.215004+00:00,350112919627355,75,30
2026-02-13T02:23:53.415004+00:00,350115919160673,124,112
2026-02-13T02:23:53.615004+00:00,350644002830025,68,44
2026-02-13T02:23:53.815004+00:00,520162516717203,101,80
2026-02-13T02:23:54.015004+00:00,356983045991541,176,161
2026-02-13T02:23:54.215004+00:00,350889947325041,80,27
2026-02-13T02:23:54.415004+00:00,359373032700476,150,61
2026-02-13T02:23:54.615004+00:00,354390007888883,51,114
2026-02-13T02:23:54.815004+00:00,012431007800983,52,47
2026-02-13T02:23:55.015004+00:00,353164055091489,48,119
2026-02-13T02:23:55.215004+00:00,353031005086374,114,90
2026-02-13T02:23:55.415004+00:00,330179675188208,121,154
2026-02-13T02:23:55.615004+00:00,448570889536480,109,178
2026-02-13T02:23:55.815004+00:00,352272001222545,147,113
2026-02-13T02:23:56.015004+00:00,490521005223823,78,141
2026-02-13T02:23:56.215004+00:00,351102808061815,130,180
2026-02-13T02:23:56.415004+00:00,351012005909767,59,129
2026-02-13T02:23:56.615004+00:00,351684003576788,168,22
2026-02-13T02:23:56.815004+00:00,350076879928592,172,111
2026-02-13T02:23:57.015004+00:00,355960063625301,132,60
2026-02-13T02:23:57.215004+00:00,351825005540153,59,101
2026-02-13T02:23:57.415004+00:00,449314915363422,143,140
2026-02-13T02:23:57.615004+00:00,330036994399884,179,121
2026-02-13T02:23:57.815004+00:00,500161119036916,90,156
2026-02-13T02:23:58.015004+00:00,332288702697749,71,49
2026-02-13T02:23:58.215004+00:00,865127029015976,174,157
2026-02-13T02:23:58.415004+00:00,351477004376955,64,60
2026-02-13T02:23:58.615004+00:00,354040001168358,103,88
2026-02-13T02:23:58.815004+00:00,520413624723488,154,82
2026-02-13T02:23:59.015004+00:00,359064007734802,66,129
2026-02-13T02:23:59.215004+00:00,350473009194999,180,171
2026-02-13T02:23:59.415004+00:00,353439021611044,25,47
